full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
  1143 Odysseus (1930 BH),4.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,?,?,?,?,?,?,?,?,4,"(0.0458, 0.0571]",0.0458,0.0571,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(15.93, 16.202]",15.93,16.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterOdysseus,Odysseus,-,D,Tholin1989
  1647 Menelaus (1957 MK),3.0,4.0,1.0,3.0,2.0,2.0,?,?,10.0,?,?,?,?,?,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0532, 0.0655]",0.0532,0.0655,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0483, 0.06]",0.0483,0.06,-,-,-,-,-,-,"(17.836, 18.108]",17.836,18.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterOdysseus,Odysseus,-,,
  5025 (1986 TS6),2.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,12.0,3.0,7.0,3.0,4.0,9.0,?,?,?,4,"(0.0232, 0.0345]",0.0232,0.0345,"(0.0284, 0.0408]",0.0284,0.0408,"(0.172, 0.226]",0.172,0.226,"(-0.895, 0.436]",-0.895,0.436,"(8.002, 13.201]",8.002,13.200999999999999,"(0.0833, 0.095]",0.0833,0.095,"(0.102, 0.125]",0.102,0.125,"(0.102, 0.127]",0.102,0.127,"(18.381, 18.653]",18.381,18.653,"(0.718, 0.787]",0.718,0.787,"(1.405, 1.515]",1.405,1.515,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.157, 0.179]",0.157,0.179,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterOdysseus,Odysseus,-,D,Bendjoya2004
  9713 Oceax (1973 SP1),3.0,2.0,0.0,3.0,3.0,12.0,12.0,12.0,?,?,?,?,?,?,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0284, 0.0408]",0.0284,0.0408,"(0.0102, 0.0648]",0.0102,0.0648,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.165, 0.177]",0.165,0.177,"(0.331, 0.354]",0.331,0.354,"(0.326, 0.35]",0.326,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterOdysseus,Odysseus,-,,
 13372 (1998 VU6),3.0,1.0,1.0,3.0,3.0,7.0,7.0,7.0,?,?,?,?,?,?,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0161, 0.0284]",0.0161,0.0284,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.107, 0.118]",0.107,0.118,"(0.217, 0.239]",0.217,0.239,"(0.202, 0.226]",0.202,0.226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterOdysseus,Odysseus,-,,
 13463 Antiphos (5159 T-2),5.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,?,?,?,?,?,?,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0408, 0.0532]",0.0408,0.0532,"(0.172, 0.226]",0.172,0.226,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.095, 0.107]",0.095,0.107,"(0.194, 0.217]",0.194,0.217,"(0.177, 0.202]",0.177,0.202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterOdysseus,-,-,X,Fornasier2009
 14690 (2000 AR25),3.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,12.0,?,?,?,?,?,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0408, 0.0532]",0.0408,0.0532,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(18.4, 23.599]",18.4,23.599,"(0.0483, 0.06]",0.0483,0.06,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.381, 18.653]",18.381,18.653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterOdysseus,Odysseus,-,,
 15535 (2000 AT177),5.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,12.0,?,?,?,?,?,?,?,?,4,"(0.0571, 0.0684]",0.0571,0.0684,"(0.0408, 0.0532]",0.0408,0.0532,"(0.172, 0.226]",0.172,0.226,"(1.766, 3.096]",1.766,3.096,"(28.797, 33.996]",28.796999999999997,33.996,"(0.06, 0.0717]",0.06,0.0717,"(0.125, 0.148]",0.125,0.14800000000000002,"(0.127, 0.152]",0.127,0.152,"(18.381, 18.653]",18.381,18.653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterOdysseus,-,-,D,Fornasier2007
 21372 (1997 TM28),3.0,2.0,3.0,3.0,2.0,?,?,?,?,2.0,8.0,3.0,3.0,9.0,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0284, 0.0408]",0.0284,0.0408,"(0.172, 0.226]",0.172,0.226,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,-,-,-,-,-,-,-,-,-,-,-,-,"(0.649, 0.718]",0.649,0.718,"(1.515, 1.626]",1.515,1.626,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.135, 0.157]",0.135,0.157,"(0.05, 0.117]",0.05,0.117,-,-,-,-,-,-,-,-,-,GreaterOdysseus,Odysseus,-,C,Hasselmann2012
 22009 (1999 XK77),3.0,1.0,1.0,3.0,2.0,5.0,4.0,5.0,?,?,?,?,?,?,?,?,?,4,"(0.0345, 0.0458]",0.0345,0.0458,"(0.0161, 0.0284]",0.0161,0.0284,"(0.0648, 0.119]",0.0648,0.11900000000000001,"(0.436, 1.766]",0.436,1.766,"(13.201, 18.4]",13.200999999999999,18.4,"(0.0833, 0.095]",0.0833,0.095,"(0.148, 0.171]",0.14800000000000002,0.171,"(0.152, 0.177]",0.152,0.177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GreaterOdysseus,Odysseus,-,,
